Date,Platform,Campaign_Name,Campaign_Type,Impressions,Clicks,Cost,Conversions,Revenue
2025-01-01,Facebook Ads,Facebook_Retargeting_January,Retargeting,26371,155,172.55,5,298.35
2025-01-01,Facebook Ads,Facebook_Awareness_January,Awareness,5121,52,37.03,0,0.0
2025-01-01,Facebook Ads,Facebook_Awareness_January,Awareness,10700,145,144.43,0,0.0
2025-01-01,Google Ads,Google_Awareness_January,Awareness,17398,442,622.98,1,82.54
2025-01-01,Google Ads,Google_Awareness_January,Awareness,28577,1121,1915.84,4,131.76
2025-01-01,TikTok Ads,TikTok_Traffic_January,Traffic,13833,150,29.85,2,33.71
2025-01-01,TikTok Ads,TikTok_Sales_Conversion_January,Sales_Conversion,39170,380,152.39,2,58.97
2025-01-01,TikTok Ads,TikTok_Retargeting_January,Retargeting,17060,169,107.77,3,58.38
2025-01-02,Facebook Ads,Facebook_Awareness_January,Awareness,19028,315,272.17,0,0.0
2025-01-02,Facebook Ads,Facebook_Sales_Conversion_January,Sales_Conversion,30090,622,263.95,15,520.7
2025-01-02,Facebook Ads,Facebook_Sales_Conversion_January,Sales_Conversion,34282,484,564.68,11,243.59
2025-01-02,Google Ads,Google_Traffic_January,Traffic,33167,1824,3115.65,93,5632.2
2025-01-02,Google Ads,Google_Traffic_January,Traffic,11288,449,666.6,10,100.0
2025-01-02,TikTok Ads,TikTok_Awareness_January,Awareness,15731,190,99.62,0,0.0
2025-01-02,TikTok Ads,TikTok_Retargeting_January,Retargeting,27433,224,88.64,2,54.96
2025-01-02,TikTok Ads,TikTok_Traffic_January,Traffic,33250,258,96.6,1,42.62
2025-01-03,Facebook Ads,Facebook_Sales_Conversion_January,Sales_Conversion,26800,443,97.06,9,386.96
2025-01-03,Facebook Ads,Facebook_Sales_Conversion_January,Sales_Conversion,23601,424,110.66,6,318.58
2025-01-03,Facebook Ads,Facebook_Retargeting_January,Retargeting,36297,408,386.64,14,321.74
2025-01-03,Google Ads,Google_Retargeting_January,Retargeting,32470,2084,2854.84,77,3564.54
2025-01-03,Google Ads,Google_Sales_Conversion_January,Sales_Conversion,36782,1843,2784.17,37,370.0
2025-01-03,TikTok Ads,TikTok_Traffic_January,Traffic,51384,301,54.01,2,60.19
2025-01-03,TikTok Ads,TikTok_Retargeting_January,Retargeting,38432,219,10.95,4,138.6
2025-01-03,TikTok Ads,TikTok_Retargeting_January,Retargeting,15580,120,71.75,0,0.0
2025-01-04,Facebook Ads,Facebook_Awareness_January,Awareness,36724,750,366.63,3,81.51
2025-01-04,Facebook Ads,Facebook_Traffic_January,Traffic,24026,195,108.76,3,120.57
2025-01-04,Facebook Ads,Facebook_Retargeting_January,Retargeting,15436,207,221.59,6,208.85
2025-01-04,Google Ads,Google_Sales_Conversion_January,Sales_Conversion,10531,228,410.01,8,705.61
2025-01-04,Google Ads,Google_Retargeting_January,Retargeting,36046,2728,4571.19,175,16446.78
2025-01-04,Google Ads,Google_Retargeting_January,Retargeting,15598,860,656.52,61,4275.37
2025-01-04,Google Ads,Google_Retargeting_January,Retargeting,11736,559,1418.73,28,2119.36
2025-01-04,TikTok Ads,TikTok_Awareness_January,Awareness,52002,523,259.58,0,0.0
2025-01-04,TikTok Ads,TikTok_Traffic_January,Traffic,9100,9,2.49,0,0.0
2025-01-04,TikTok Ads,TikTok_Retargeting_January,Retargeting,39986,583,138.27,11,357.13
2025-01-04,TikTok Ads,TikTok_Sales_Conversion_January,Sales_Conversion,25304,224,53.24,3,119.67
2025-01-05,Facebook Ads,Facebook_Sales_Conversion_January,Sales_Conversion,5031,23,27.52,0,0.0
2025-01-05,Facebook Ads,Facebook_Traffic_January,Traffic,18568,310,120.74,8,265.39
2025-01-05,Facebook Ads,Facebook_Traffic_January,Traffic,34866,275,329.43,7,337.7
2025-01-05,Facebook Ads,Facebook_Retargeting_January,Retargeting,15263,353,308.28,19,838.13
2025-01-05,Google Ads,Google_Retargeting_January,Retargeting,21586,2218,2366.09,0,0.0
2025-01-05,Google Ads,Google_Awareness_January,Awareness,39036,2082,2119.25,8,711.53
2025-01-05,Google Ads,Google_Retargeting_January,Retargeting,36324,2201,5209.6,186,7114.77
2025-01-05,TikTok Ads,TikTok_Traffic_January,Traffic,37603,352,130.5,8,177.98
2025-01-05,TikTok Ads,TikTok_Retargeting_January,Retargeting,21200,278,101.87,1,27.97
2025-01-06,Facebook Ads,Facebook_Sales_Conversion_January,Sales_Conversion,11946,269,241.93,1,38.44
2025-01-06,Facebook Ads,Facebook_Retargeting_January,Retargeting,30715,506,497.76,17,862.97
2025-01-06,Facebook Ads,Facebook_Traffic_January,Traffic,35956,209,161.15,6,113.29
2025-01-06,Google Ads,Google_Sales_Conversion_January,Sales_Conversion,12997,545,934.61,12,623.35
2025-01-06,Google Ads,Google_Traffic_January,Traffic,5785,278,450.25,11,892.58
2025-01-06,TikTok Ads,TikTok_Retargeting_January,Retargeting,45419,567,240.08,2,63.34
2025-01-06,TikTok Ads,TikTok_Retargeting_January,Retargeting,40624,573,218.48,9,201.74
2025-01-06,TikTok Ads,TikTok_Awareness_January,Awareness,8027,111,41.17,0,0.0
2025-01-06,TikTok Ads,TikTok_Traffic_January,Traffic,34656,418,342.39,4,168.45
2025-01-07,Facebook Ads,Facebook_Retargeting_January,Retargeting,30214,885,847.1,52,3304.62
2025-01-07,Facebook Ads,Facebook_Sales_Conversion_January,Sales_Conversion,9151,187,306.15,1,43.59
2025-01-07,Facebook Ads,Facebook_Awareness_January,Awareness,35030,361,391.37,0,0.0
2025-01-07,Facebook Ads,Facebook_Retargeting_January,Retargeting,32822,456,661.27,20,1167.02
2025-01-07,Google Ads,Google_Sales_Conversion_January,Sales_Conversion,37626,3159,7330.21,107,5232.47
2025-01-07,Google Ads,Google_Sales_Conversion_January,Sales_Conversion,24678,1507,1812.33,28,2486.98
2025-01-07,TikTok Ads,TikTok_Awareness_January,Awareness,42003,264,121.34,0,0.0
2025-01-07,TikTok Ads,TikTok_Traffic_January,Traffic,40045,310,69.3,2,77.5
2025-01-07,TikTok Ads,TikTok_Sales_Conversion_January,Sales_Conversion,20699,103,53.2,0,0.0
2025-01-07,TikTok Ads,TikTok_Awareness_January,Awareness,45197,84,4.2,0,0.0
2025-01-08,Facebook Ads,Facebook_Awareness_January,Awareness,8400,162,15.36,0,0.0
2025-01-08,Facebook Ads,Facebook_Awareness_January,Awareness,32071,452,554.57,1,63.37
2025-01-08,Google Ads,Google_Retargeting_January,Retargeting,34817,1593,3992.15,113,8121.78
2025-01-08,Google Ads,Google_Retargeting_January,Retargeting,42093,3723,4036.54,205,8739.68
2025-01-08,Google Ads,Google_Traffic_January,Traffic,34733,1442,1412.48,83,5838.46
2025-01-08,Google Ads,Google_Sales_Conversion_January,Sales_Conversion,34192,339,596.21,17,1430.26
